Plant,Scientific Name,Description,Climate,Harvest,Altitudes,Rainfall,Photo Link
Mango,Mangifera indica,"Mangifera indica, commonly known as mango, is a species of flowering plant in the family Anacardiaceae. It is a large fruit tree, capable of growing to a height of 30 metres (100 feet). Worldwide, there are several hundred cultivars of mango. Depending on the cultivar, mango fruit varies in size, shape, sweetness, skin color, and flesh color, which may be pale yellow, gold, green, or orange. Mango is the national fruit of India, Pakistan and the Philippines, while the mango tree is the national tree of Bangladesh.
",24-27°C,82-120 days, < 1400 mdpl,1500-2000 mm/year,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Mangoes_%28Magnifera_indica%29_from_India.jpg/1200px-Mangoes_%28Magnifera_indica%29_from_India.jpg
Grapes,Vitis vinifera,"A grape is a fruit, botanically a berry, of the deciduous woody vines of the flowering plant genus Vitis. Grapes are a non-climacteric type of fruit, generally occurring in clusters. The cultivation of grapes began perhaps 8,000 years ago, and the fruit has been used as human food over history. Eaten fresh or in dried form (as raisins, currants and sultanas), grapes also hold cultural significance in many parts of the world, particularly for their role in winemaking. Other grape-derived products include various types of jam, juice, vinegar and oil.",15-40°C,150-170 days,> 500 mdpl,< 900 mm/year,https://www.thespruce.com/thmb/yPCHOsE5ox6lSm1RNZhBAW1_1TA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/thespruce.com-how-to-grow-grapes-4774749-8-ef6c54d6aea14d7b9b964006ff10c850.jpg
Watermelon,Citrullus lanatus,"Watermelon (Citrullus lanatus) is a flowering plant species of the Cucurbitaceae family. A scrambling and trailing vine-like plant, it is a highly cultivated fruit worldwide, with more than 1,000 varieties. Watermelon is grown in favorable climates from tropical to temperate regions worldwide for its large edible fruit, which is a berry with a hard rind and no internal divisions, and is botanically called a pepo. The sweet, juicy flesh is usually deep red to pink, with many black seeds, although seedless varieties exist. The fruit can be eaten raw or pickled, and the rind is edible after cooking.",22-30°C,80-110 days,< 1500 mdpl,400-600 mm/year,https://www.thespruce.com/thmb/FQEJK_TMRNcnZfQr97S6GZGaJVY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/how-to-grow-watermelons-1403491-hero-2d1ce0752fed4ed599db3ba3b231f8b7.jpg
Muskmelon,Cucumis melo,"Cucumis melo, also known as melon, is a species of Cucumis that has been developed into many cultivated varieties. The fruit is a pepo. The flesh is either sweet or bland, with or without a musky aroma, and the rind can be smooth (such as honeydew), ribbed (such as European cantaloupe), wrinkled (such as casaba melon), or netted (such as muskmelon). In North America, the sweet-flesh varieties are often collectively called muskmelon, including the musky netted-rind varieties and the inodorous smooth-rind varieties, and cantaloupe usually means the former type. However, muskmelon in a narrow sense only refers to the musky netted-rind type, while the true cantaloupe is the European type with ribbed and often warty rind that is seldom grown in North America",18-30°C,80-100 days,700-1200 mdpl,50-75 mm/year,https://kj1bcdn.b-cdn.net/media/47824/muskmelon-3.jpg?width=1200
Apple,Malus domestica,"Apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. Apples grown from seed tend to be very different from those of their parents, and the resultant fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by clonal grafting onto rootstocks. Its generally standing 2 to 4.5 m (6 to 15 ft) tall in cultivation and up to 9 m (30 ft) in the wild and the leaves are alternately arranged dark green-colored simple ovals with serrated margins and slightly downy undersides.",16-27 °C,4-5 months,700-1200 mdpl,1600-2600 mm/year,https://diperpa.badungkab.go.id/storage/olds/diperpa/Cara-Budidaya-Tanaman-Apel_108037.jpg
Orange,Citrus sinensis,"An orange is a fruit of various citrus species in the family Rutaceae (see list of plants known as orange); it primarily refers to Citrus × sinensis, which is also called sweet orange, to distinguish it from the related Citrus × aurantium, referred to as bitter orange.  Orange trees were found to be the most cultivated fruit tree in the world. Orange trees are widely grown in tropical and subtropical climates for their sweet fruit. The fruit of the orange tree can be eaten fresh, or processed for its juice or fragrant peel. 
",25-30 °C, 6- 9 months ( Rain Season),< 900 mdpl,1000-2000mm/year,https://asset.kompas.com/crops/VU6CkYhzo-lg17EXxzKxfnHGg_Y=/100x67:900x601/750x500/data/photo/2022/12/08/639209cee462b.jpg
Papaya,Carica papaya,"Papaya (also called papaw or pawpaw), a tropical fruit plant. For the mountain papaya (Vasconcellea pubescens) of South America, see Mountain papaya. For the Eastern North American tree (and fruit) called ""pawpaw"". The papaya is a small, sparsely branched tree, usually with a single stem growing from 5 to 10 m (16 to 33 ft) tall, with spirally arranged leaves confined to the top of the trunk. The lower trunk is conspicuously scarred where leaves and fruit were borne. The leaves are large, 50–70 cm (20–28 in) in diameter, deeply palmately lobed, with seven lobes. All plant parts contain latex in articulated laticifers.",15-35 °C,9-12 months,700-1000 mdpl,1500-2000 mm/year,https://housing.com/news/wp-content/uploads/2022/11/PAPAYA-TREE-FEATURE-compressed.jpg
Coconut,Coconut nucifera,"Coconut (Cocos nucifera) is the sole member of the Cocos genus of the aren-arenan tribe or Arecaceae. The meaning of the word coconut can refer to the whole coconut tree, seeds, or fruit, which is botanically a fruit tree, not a nut tree. The word is derived from the 16th century Portuguese and Spanish word coco meaning ""head"" or ""skull"" after the three indentations on the coconut shell that resemble faces. Almost all of its parts are used by humans so that it is considered a multipurpose plant, especially for coastal communities. Coconut is also the name for the fruit produced by this plant. Trees with a single or occasionally branched trunk. Fibrous roots, thick and woody, clustered to form humps, adaptive to sandy beach land. The stem is segmented but when it is old it is not very visible, typical of the monocot type with spreading vessels (not concentric), woody.",20-27 °C,11-12 months,0-450 mdpl,1300-2300 mm/year,https://housing.com/news/wp-content/uploads/2022/11/All-about-coconut-tree.jpg
Cotton,Gossypium hirsutum,"Cotton is a fine fiber that covers the seeds. produced for industrial or textile needs, seart can be used as yarn, clothing base material, hospital cotton and others.",25-29 °C,11-12 months,200-600 mdpl,1500-1800 mm/year,https://cdn.britannica.com/18/156618-050-39339EA2/cotton-harvesting.jpg
Jute,Corchorus capsularis,Jute is a type of fibrous plant whose tree bark is made of rope to make sacks. Jute is an annual herbaceous plant that is cultivated for its fiber. Jute is a rainfed crop that does not require a lot of fertilizers and pesticides. Jute fiber comes from the stems and soft tissue (outer skin) of the jute plant. The fiber is first extracted by twisting it into separate fibers. India is the largest jute producing country in the world,"24-37 °C
","110-120 days
",250 - 1500 mdpl,250-270  mm/year,https://upload.wikimedia.org/wikipedia/commons/9/9e/Jute_Field_Bangladesh_%287749587518%29.jpg
Coffee,Coffea arabica,"Coffea arabica, also known as the Arabic coffee, is a species of flowering plant in the coffee and madder family Rubiaceae. It is believed to be the first species of coffee to have been cultivated and is currently the dominant cultivar, representing about 60% of global production. Coffee produced from the less acidic, more bitter, and more highly caffeinated robusta bean (C. canephora) makes up most of the remaining coffee production. The natural populations of Coffea arabica are restricted to the forests of South Ethiopia and Yemen.",14-26 °C,3-4 years,400-1200 mdpl,1000-2700 mm/year,https://www.thespruce.com/thmb/v9CDI5CzCF4orK4GBCax08zvGqU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-1174305372-718fb182f53b4714bd0789d8a312d66f.jpg
